,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,74.4932290165,36.2058111881,0.199392712551,0.439553752535,0.202022759238,0.503154967395
2,defFuzzyDistance,E,3.89030405867,0.274957093133,0.768724696356,0.827405262538,0.769211856295,0.51494454034
3,defFuzzyDistance,nH,0.00198146639225,0.000963048575293,0.199392712551,0.439553752535,0.202022759238,0.503154967395
4,defFuzzyDistance,nE,0.0200640453925,0.00141807722852,0.768724696356,0.827405262538,0.769211856295,0.51494454034
5,defIFSDistance,H,74.4932290165,36.2058111881,0.199392712551,0.439553752535,0.202022759238,0.503154967395
6,defIFSDistance,E,3.89030405867,0.274957093133,0.768724696356,0.827405262538,0.769211856295,0.51494454034
7,defIFSDistance,nH,0.00198146639225,0.000963048575293,0.199392712551,0.439553752535,0.202022759238,0.503154967395
8,defIFSDistance,nE,0.0200640453925,0.00141807722852,0.768724696356,0.827405262538,0.769211856295,0.51494454034
9,wangXinDistance,1,0.00198146639225,0.000963048575293,0.199392712551,0.439553752535,0.202022759238,0.503154967395
10,wangXinDistance,2,5.2705582983e-08,2.561640046e-08,0.199392712551,0.439553752535,0.202022759238,0.503154967395
11,yangChiclanaDistance,H,74.4932290165,36.2058111881,0.199392712551,0.439553752535,0.202022759238,0.503154967395
12,yangChiclanaDistance,E,3.89030405867,0.274957093133,0.768724696356,0.827405262538,0.769211856295,0.51494454034
13,yangChiclanaDistance,nH,0.00198146639225,0.000963048575293,0.199392712551,0.439553752535,0.202022759238,0.503154967395
14,yangChiclanaDistance,nE,0.0200640453925,0.00141807722852,0.768724696356,0.827405262538,0.769211856295,0.51494454034
15,grzegorDistance,H,74.4932290165,36.2058111881,0.199392712551,0.439553752535,0.202022759238,0.503154967395
16,grzegorDistance,E,3.89030405867,0.274957093133,0.768724696356,0.827405262538,0.769211856295,0.51494454034
17,grzegorDistance,nH,0.00198146639225,0.000963048575293,0.199392712551,0.439553752535,0.202022759238,0.503154967395
18,grzegorDistance,nE,0.0200640453925,0.00141807722852,0.768724696356,0.827405262538,0.769211856295,0.51494454034
19,vlachSergDistance,-,-100414.92507,26.2294800904,0.222672064777,0.800540540541,0.225206804227,0.499705919959
